,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,Language,LegalStatus,CustodyStatus,MaritalStatus,DecileScore,Age
31022,1,1,10,1,1,1,1,2,26
53617,1,1,100,1,1,1,1,0,22
13972,1,10,10,1,1,1,1,0,21
6054,10,1,100,1,1000,10,10,0,38
11618,10,1,100,1,10,10,10000,2,32
1373,1,1,10,1,1,1,1,0,45
57398,1,1,10,1,1,100,10,0,23
28357,1,10,1000,1,1,1,1,0,44
40226,1,1,1,1,1,1,1,0,32
11071,1,1,1,1,1,1,1,0,60
7155,1,1,10,1,1,1,1,1,24
58684,1,1,100,1,1,1,1,0,29
16067,10,1,10,1,10,10,1,0,55
37177,10,1,10,1,10,10,1,0,27
41021,1,1,100,1,1,100,1,0,17
20919,1,1,1000,1,1,1,10,0,23
50226,1,1,10,1,10,1,1,0,55
22947,1,1,10,1,1,1,1,1,20
53937,10,1,10,1,1000,10,1,1,20
30401,1,10,1,1,1000,10,1,0,20
44446,1,1,10,1,1,1,1,0,43
58193,1,1,10,1,1,1,1,0,42
22422,1,1,10,1,1,1,1,0,24
33681,10,10,1,1,10,10,10,0,51
39056,1,1,10,1,1,1,1,0,35
322,1,1,10,1,1,1,1,2,22
23348,1,1,1,1,1,1,1,1,47
50363,1,1,1,1,1,100,1,0,21
45453,10,1,1,1,10,10,1,0,38
26815,1,1,10,1,1,1,1,1,23
41054,1,1,10,1,10,10,1,0,23
36494,1,1,100,1,1,1,1,2,22
3884,1,1,1,1,1,1,1,0,27
54501,10,1,1,1,10,10,1,0,45
20766,10,1,1,1,10,10,10,0,35
30993,10,1,1,1,10,10,1,0,28
45847,1,1,10,1,1,1,1,0,41
59784,10,10,10,1,1,100,1,1,21
46732,1,1,1000,1,1,1,100,1,29
31592,1,1,100,1,1,1,10,0,36
42722,1,10,10,1,1,100,1,0,23
59485,1,1,10,1,1,1,1,2,22
24500,1,1,1,1,1,1,10,1,42
59940,1,10,10,1,1,1,1,1,26
57984,10,1,10,1,10,10,1,2,20
46849,1,1,10,1,1,1000,1,0,29
53519,1,1,10,1,1,100,1,0,19
4601,1,1,10,1,1,1,1,0,43
35941,1,1,10,1,1,1,1,0,20
39724,1,1,1,1,1,100,1,1,27
10292,1,10,100,1,10,10,1,0,27
55771,1,1,1,1,1,1,1,0,21
59537,1,1,1,1,1,1,1,0,53
10344,10,10,10,1,10,10,1,0,35
19717,10,1,100,1,1000,10,1,0,41
10320,10,10,1,1,10,10,1000,0,47
33429,1,10,100,1,1,1,10,0,54
14596,10,1,1,1,10,10,1000,0,32
32386,1,1,10,1,1,1,1,0,55
3429,1,10,10,1,1,100,1,1,19
56435,10,1,1,1,10,10,1,0,25
25521,1,1,10,1,1,1,10,0,47
15671,10,1,10,1,1000,10,1,0,23
59705,1,1,1,1,1,100,1,0,67
41261,10,1,1,1,10,10,1,1,23
18145,10,10,100,1,1000,10,1,0,24
411,1,1,10,1,1,1,1,1,32
32312,1,1,10,1,1,1,1,1,30
10207,1,1,10,1,1,1,1,1,20
45529,1,1,10,1,1,100,1000,0,58
48431,1,1,10,1,1,1,1,0,18
35525,1,1,1,1,1,1,1,0,38
60194,1,10,1,1,1,1,1,0,20
3484,1,10,10,1,1,1,1,0,56
16122,10,1,1,1,10,10,1,0,29
38125,1,10,1000,1,1,1,1,0,23
48506,1,10,10,1,1,1,1,1,22
17686,1,10,10,1,1,100,1,1,31
42329,10,1,10,1,10,10,1,0,28
20016,10,1,100,1,1000,10,10,0,47
51004,10,1,100,1,10,10,1,1,36
44029,1,10,1,1,1,1,1,0,55
60389,1,1,1,1,1,100,1,0,23
14264,10,10,1,1,10,10,1,1,29
16090,10,1,10,1,1000,10,1,0,38
3167,10,10,10,1,10,10,1,0,35
51983,1,1,10,1,1,1,1,0,19
43334,1,1,10,1,1000,10,1,0,27
25072,1,10,1,1,1,100,100000,0,54
9466,1,1,10,1,1,1,1,2,41
2980,1,10,10,1,1,1,1,0,22
42294,10,1,1,1,10,10,1,0,24
27720,1,1,10,1,1,1,1,0,22
40782,1,1,10,1,1,1,1,1,33
57848,1,1,1,1,1,1,10,0,41
10357,1,1,10,1,1,1,1,2,19
39591,10,1,10,1,1,1,10,0,48
38235,10,10,1,1,1000,10,1000,0,43
46976,1,1,100,1,1,100,1,0,18
48503,1,1,10,1,1,1,1,2,23
22143,1,1,1,1,1,1,1,1,18
3991,10,10,1,1,10,10,1,0,37
55369,1,1,100,1,10,10,1,0,27
39990,1,1,10,1,1,1,1,0,29
27914,1,1,1,1,1,1,1,0,22
54600,1,1,10,1,1,100,1,0,42
38848,1,1,1,1,1,100,1,0,35
49205,1,10,100,1,1,1,10,0,34
15079,1,1,1,1,1,1,10,1,32
29377,10,1,10,1,10,10,1,1,25
56101,1,1,1,1,1,100,1,0,29
14505,1,10,10,1,1,100,1,0,26
47246,10,1,10,1,10,10,10,0,46
19353,10,10,1,1,10,10,1,0,30
23836,1,1,1,1,1,1,1,0,43
56203,1,10,10,1,1,1,1,2,18
9465,1,1,10,1,1,1,1,1,41
55918,1,10,1,1,1,100,1000000,1,30
36789,1,1,10,1,1,1,1,1,42
4248,1,1,10,1,1,1,1,0,34
12366,10,1,1000,1,1000,10,1,0,60
19594,1,1,10,1,1,1,1,2,25
5758,1,1,10,1,1,1,1,0,29
58290,1,10,1,1,1,1,1,1,25
19143,1,1,10,1,1,1,1,2,21
9302,1,1,10,1,1,1,1000,1,48
58267,1,1,1,1,1,1,1000,0,59
47507,1,10,100,1,1,1,1,0,21
5099,10,1,1,1,10,10,1,0,48
7032,1,1,100,1,1,100,1,0,54
38513,1,1,10,1,10,10,1,1,24
15649,10,1,1,1,10,10,1,2,19
15968,10,1,100,1,10,10,1,0,32
12711,10,1,100,1,10,10,1,0,25
22983,10,1,10,1,10,10,1,0,22
1026,10,10,1,1,10,10,1,0,45
33911,1,1,10,1,1,1,1,2,29
31311,10,1,1,1,10,10,10,0,52
56674,1,1,1,1,1,1,1,2,34
45101,1,1,10,1,1,1,1,1,30
58189,1,1,1,1,1,1,1,1,22
42756,1,1,10,1,10,10,1,0,44
13735,10,10,1,1,10,10,1,0,27
50130,1,1,10,1,1,1,100,1,26
3949,10,10,1,1,10,10,1000,0,40
28868,1,1,10,1,1,1,1,1,29
21023,1,1,10,1,1,1,1,0,24
29732,10,1,1,1,1000,10,1,0,52
37764,10,1,1,1,10,10,1,0,32
2011,1,1,1,1,1,1,1,0,44
8041,10,1,100,10,1000,10,1000,0,53
7208,10,1,10,1,1000,10,1,0,29
30371,10,10,10,1,10,10,1,0,22
13846,1,1,10,1,1,100,1,2,31
10139,1,1,10,1,1,1,1,1,49
10580,1,1,100,1,1,1,1,2,43
1915,1,1,1,1,1,1,1000,1,67
19580,1,10,10,1,1,100,1,0,18
15039,1,1,10,1,1,1,100,0,24
19854,1,1,1,1,1000,10,1,0,24
53086,10,10,100,1,10,10,1,0,51
13061,10,1,100,1,10,10,1,1,44
14869,1,1,100,1,1,1,1,0,24
52357,1,1,10,1,1,100,1,1,26
28638,1,1,10,1,1,1,1,2,18
4143,1,1,100,1,1,1,1,0,22
35105,1,1,100,1,10,10,1,0,26
33316,10,1,1,1,10,10,1000,0,57
52720,1,1,1,1,1,1,1,0,25
30861,1,10,1,1,1,1,1,0,52
6800,10,10,10,1,100,10,1,0,22
31415,1,1,1,1,1,1,1000,0,45
22133,10,10,100,1,10,10,1,0,30
49671,1,10,1000,1,1,100,1,1,19
10090,10,1,1,1,1,1,1,2,23
53913,1,10,1,1,1,1,1,1,25
5704,1,10,100,1,1,100,1,0,28
13775,1,1,1,1,10,10,1000,0,60
27426,1,1,1,1,1,1,1,1,38
53349,1,1,1,1,1,1,1,0,54
44015,1,1,100,1,10,10,10000,0,26
37732,1,1,10,1,1,1,1,0,29
49049,1,1,10,1,10,10,10,0,40
1993,1,1,10,1,1,1,1,0,25
45846,1,1,10,1,1,1,1,0,41
17070,10,1,10,1,10,10,1,0,51
54655,1,1,1,1,1,1,1,2,21
47111,10,1,100,1,10,10,10,0,42
22583,1,10,1000,1,1,1,1,0,57
822,1,1,10,1,1,100,1,0,42
16495,1,1,10,1,1,100,1,0,18
11541,1,1,10,1,1,1,100,1,33
2311,1,1,10,1,10,10,10,1,24
15870,10,10,1,1,10,10,1,0,28
38689,1,1,10,1,1,100,1,2,35
40936,10,10,1,1,10,10,1,1,25
57230,1,1,1,1,1,1,1,0,23
54757,1,10,10,1,1,1,1,1,20
53296,1,10,100,1,1,100,1,0,24
55328,1,10,10,1,1000,10,1,0,26
6563,1,1,1,1,1,100,1,0,26
27390,10,1,10,1,10,10,10,0,42
29868,1,1,1,1,1,1,10,0,34
27742,1,1,1,1,1,1,1,0,34
60427,1,1,10,1,1,1,1,2,25
9294,1,10,10,1,1,100,1,2,37
7946,10,10,10,1,10,10,1,0,30
1136,1,1,10,1,1,1,1,0,84
3007,10,1,100,1,1,10,1,1,25
21276,1,1,10,1,1,1,1,1,20
20036,1,1,10,1,1,1,1,0,18
20815,1,1,10,1,1,1,1,2,19
12478,1,1,1,1,10,10,1,0,28
1127,1,1,10,1,1,1,1,2,22
20315,1,10,10,1,1,1,1,1,23
5742,1,1,10,1,1,1,1000,0,30
29512,10,1,10,1,10,10,10,0,42
7328,1,1,1,1,1,100,1,0,23
18521,1,10,10,1,1,1,1,2,31
12325,1,10,1,1,10,10,1000,0,55
2217,1,1,1,1,1,1,1,0,22
44060,10,1,1,1,10,10,1,0,22
4815,1,1,10,1,1,1,1,1,35
7546,1,1,10,1,1,1,1,0,22
3970,1,1,10,1,10,10,1,1,29
43115,1,1,10,1,1,1,1,0,24
2023,1,1,1,1,1,1,1,0,53
28936,1,1,10,1,1,1,1,1,24
2363,10,1,1,1,10,10,1,0,58
6805,10,1,1000,1,10,10,100000,0,46
58379,10,1,100,1,10,10,1,0,24
38674,10,10,1,1,1,10,1,1,26
14310,1,1,10,1,1,1,1,2,24
30031,1,1,10,1,1,100,1,0,34
50120,1,1,10,1,1,100,1,0,45
45926,10,10,1,1,10,10,1,0,38
12899,1,1,1000,1,1,1,1,0,29
42822,1,1,10,1,10,10,10,1,44
53335,1,10,1,1,1,1,1,0,49
49387,10,10,10,1,10,10,1,2,23
41153,1,1,1,1,1,100,1,0,18
12246,1,10,1,1,1,1,100000,0,56
50000,10,1,1,1,10,10,1,0,25
37407,10,1,10,1,1,1,1,2,25
